127.0.0.1, 2024-06-03 08:12:44, GET, /, HTTP/1.1, 303, 0.844514
127.0.0.1, 2024-06-03 08:12:44, GET, /welcome/default/index, HTTP/1.1, 200, 0.288950
127.0.0.1, 2024-06-03 08:12:44, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2024-06-03 08:12:44, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2024-06-03 08:12:44, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2024-06-03 08:12:44, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2024-06-03 08:12:44, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2024-06-03 08:12:44, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001001
127.0.0.1, 2024-06-03 08:12:44, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2024-06-03 08:12:44, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2024-06-03 08:12:44, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2024-06-03 08:12:44, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2024-06-03 08:12:45, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2024-06-03 08:13:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.006999
127.0.0.1, 2024-06-03 08:13:38, GET, /welcome/default/grid/auth_user, HTTP/1.1, 303, 0.004995
127.0.0.1, 2024-06-03 08:13:38, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.011999
127.0.0.1, 2024-06-03 08:13:41, GET, /welcome/default/index, HTTP/1.1, 200, 0.006999
127.0.0.1, 2024-06-03 08:13:46, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.242009
